title,roku_compound,roku_sentiment
"Black doctor leaves Seattle hospital citing racism towards staff, patients",-0.6249,-1.0
Black congressman-elect says Trump won the election,0.5719,1.0
How to watch Ryan Garcia vs Luke Campbell live stream online anywhere,0.0,0.0
Original Black Eyed Peas member Kim Hill responds to Will.I.Am,0.3182,1.0
Streaming Boom Reaches 2021 Crossroads: Can Big Media Really Catch Netflix?,0.0516,1.0
"College basketball picks, schedule: Predictions, odds for Kansas vs. Texas and other key games Saturday",0.0,0.0
Pregnant women in a quandary over safety of vaccine,0.4215,1.0
What Is the Best Alternative to Cable TV?,0.6369,1.0
Where to find West Brom vs. Arsenal on US TV and streaming,0.0,0.0
How To Watch ‘Garcia Vs. Campbell’ Tonight On DAZN!,0.0,0.0
Trump suggests Georgia Senate runoffs voting is ‘illegal and invalid’,0.0,0.0
"New Year's sales 2021 — Amazon, Walmart, Best Buy and more - Tom's Guide",0.7096,1.0
Where to find Boca Juniors vs. River Plate on US TV and streaming,0.0,0.0
Where to find Rangers vs. Celtic on US TV and streaming,0.0,0.0
"Florida vs. LSU: Prediction, pick, odds, point spread, line, basketball game, tipoff time, live stream",0.0,0.0
"This week on ""Sunday Morning"" (January 3)",0.0,0.0
Virginia State Senator dies of COVID-19 complications,0.0,0.0
Nicki Minaj unveils first photos of newborn son,0.0,0.0
More Streaming Remotes Need to Be Battery-Free,0.0,0.0
4 stellar new features to check out in the NASA app,0.0,0.0
Best Budget 4K TV for Most People,0.6369,1.0
Amazon has Roku players starting at $25 for New Year’s Day,0.1779,1.0
Minneapolis police release bodycam footage of fatal shooting of Black man - Yahoo News,-0.5423,-1.0
At least 140 Republicans expected to vote against Electoral College count,0.0,0.0
Best Buy Flash Sale: Up to $350 off,0.6369,1.0
FuboTV: Solid Positioning For Sports Betting,0.1531,1.0
Why People Love Roku’s Streaming Platform,0.6369,1.0
"Fake teen doctor, now 23, arrested for fraud in Florida",-0.875,-1.0
"Showbiz Stocks In 2020: Tech Tops, Cinema Flops Amid Covid Crash & Streaming Dash",-0.2023,-1.0
"Investing In The New Year, State Of Fear",-0.4939,-1.0
Do 90 Day Fiance Fans Need Discovery+ to Keep Watching?,0.0,0.0
Ne-Yo proposes to wife Crystal Smith on New Year after rekindling marriage,0.0,0.0
"Fake teen doctor, now 23, arrested for fraud in Florida",-0.875,-1.0
Bill Cosby thanks Jesse Jackson for calling for prison release amid COVID-19,-0.1027,-1.0
"Hip-hop legend MF DOOM is dead at 49, his wife confirms - Yahoo News",-0.8286,-1.0
PREVIEW: Huskies host Alabama Huntsville to open WCHA play - michigantechhuskies.com,0.34,1.0
At least 140 Republicans expected to vote against Electoral College count,0.0,0.0
"Hip-hop legend MF DOOM is dead at 49, his wife confirms",-0.8286,-1.0
3 Key Catalysts for Roku Stock,0.0,0.0
Roku (ROKU) Stock Sinks As Market Gains: What You Should Know,0.34,1.0
The 1 Thing You Should Know About Streaming Stocks Before You Buy,0.0,0.0
"Move Over, Warren Buffett: This Is the Star Investor You Should Be Following",0.0,0.0
"Snoop Dogg, Desus & Mero Cameo For CNN’s NYE Celebration: Watch Now",0.0,0.0
We Found a Bubble–but It May Not Be What You Think It Is,0.0,0.0
Here's How to Watch the Times Square Ball Drop This New Year's Eve,-0.2732,-1.0
"Major streaming service subscribers are up 50% since last year, proof of how the pandemic has boosted some industries and crushed others",-0.0772,-1.0
How to Stream CNN’s ‘New Year’s Eve Live With Anderson Cooper and Andy Cohen’,0.0,0.0
How to Watch the Times Square Ball Drop Without Cable,-0.2732,-1.0
The Best Stock Picker of 2020 Wins With Disruptive DNA,0.765,1.0
"Samuel Little, serial killer who confessed to over 90 murders, dies at 80",-0.8411,-1.0
"On RHOSLC, Jen Shah continues to dig into fellow Housewives’ marital drama",0.0,0.0
Dr. Fauci says US could be back to normal by early fall 2021,0.0,0.0
Walmart apologizes after calling Sen. Hawley a ‘sore loser’ over Biden win,0.743,1.0
Azriel Clary says she receives R. Kelly backlash from Black community,0.0,0.0
Kelly Rowland busts major moves while 8 months pregnant in video,0.0,0.0
8 Products on Deep Discount in January,0.0,0.0
How to watch Pixar's Soul with Disney Plus right now - CNET,0.0,0.0
"Steve Bannon’s War Room Pandemic - Evening Edition LIVE, 5PM ET [12/31/2020]",-0.5994,-1.0
"The best TV for 2021: LG OLED, Samsung and TCL QLED, Sony and Vizio compared - CNET",0.6369,1.0
The New Fire TV Finally Offers a Decent Streaming Experience,-0.34,-1.0
Kobe Bryant planned on leaving Nike for ‘Mamba’ shoe brand before his death: report,-0.5994,-1.0
What's Worth Streaming: These streaming services were worth paying for in 2020 — but might not be next year,0.2263,1.0
Woman expected to be charged in alleged hotel attack involving Black teen,-0.5994,-1.0
Dance pioneer Adolfo ‘Shabba-Doo’ Quinones dead at 65: report,-0.6486,-1.0
: Tech stocks’ COVID-19 surge could face turbulence in 2021,0.0,0.0
11 Kids Movies To Rewatch That Will Bring You Some Nostalgic Joy If You Grew Up In The ’90s,0.5859,1.0
Is Roku Stock A Buy As 2020 Draws To A Close? Here's What IBD Charts Show,0.0,0.0
Fubotv Inc (FUBO): Requiem For A Stream,0.0,0.0
"Nurse who was vaccinated contracts COVID-19, expert says it ‘needed more time’",0.0,0.0
Disney+ beat HBO Max in subscriber gains over the Christmas holiday,0.6249,1.0
Woman accused of assaulting teen over iPhone claims to be victim,-0.765,-1.0
Here's How to Watch the Times Square Ball Drop on New Year's Eve,-0.2732,-1.0
Best smart home gadgets under $200,0.7845,1.0
Louisiana congressman Luke Letlow dead from COVID-19,-0.6486,-1.0
‘The Challenge: Double Agents’ Episode 4 Live Stream: Watch Season 36 Online,0.0772,1.0
Michael B. Jordan will make his directorial debut with ‘Creed III’,0.0,0.0
Pelosi expected to narrowly win vote to serve as House Speaker for new session,0.5859,1.0
Tyrese’s SUV is stolen from the driveway of his Atlanta mansion,-0.4939,-1.0
Where's the Apple TV Dongle?,0.0,0.0
Deep Dive: 15 stock-market winners that index-fund investors missed in 2020,0.2263,1.0
LG rolling out AirPlay 2 and HomeKit support for its 2018 Smart TVs,0.6597,1.0
Stacey Abrams: Republicans ‘do not know how to win without voter suppression’,0.5859,1.0
Book: In the Beginning…Was the Command Line,0.0,0.0
"Donald Trump, Michelle Obama named America’s most admired in 2020",0.5563,1.0
The Coolest Gadgets of 2020,0.0,0.0
"Best Buy - Westinghouse 75"" Class LED 4K UHD Smart Roku TV $679.99",0.7845,1.0
Is fuboTV Worth $8 or $60?,0.2263,1.0
Roku Stock: A Better Bet Than Netflix Post Covid?,0.4404,1.0
Does Your TCL Roku TV Have a 'Security Flaw'? The Answer is No.,0.0516,1.0
"Got $10,000? Stock Up on Activision Blizzard Stock Before 2021",0.0,0.0
Roku Streambar with 4K playback + stereo audio at its lowest price since Black Friday at $110,-0.3818,-1.0
Amazon’s 2020 bestsellers list: Pandemic buying habits revealed,0.0,0.0
The pandemic has given network news shows a much-needed boost…on YouTube,0.0,0.0
"25% off code for Adams Distillery, Whisky and Gin",0.0,0.0
Four Pillars Rare Dry Gin 2×700ml $130 @ Liquorland,0.0,0.0
Warner Announced ‘Wonder Woman 3’ So You’d Presume ‘Wonder Woman 1984’ Was Already A Hit,0.0,0.0
Monique Samuels explains why she decided to exit ‘RHOP’,0.0,0.0
Thezeusnetwork com Activate {Dec} Read To Know For Shows,0.0,0.0
"The best after-Christmas deals you can get right now: Save $100 on a 75-inch Roku TV, $60 on a Apple Watch Series 6 and more - CNET",0.8126,1.0
"Today’s best deals: $40 Amazon gift card, Clorox wipes, $24 wireless earbuds, $25 Roku, KN95 masks, more",0.8316,1.0
The Top Streaming Stocks to Buy in 2021,0.2023,1.0
Tiffany Haddish says she loves Common for not trying to dim her light,0.5719,1.0
How to watch Everton vs Man City: Live stream Premier League soccer online,0.0,0.0
Are Options Traders Betting on a Big Move in Roku (ROKU) Stock?,0.0,0.0
Michelle Obama gifted Barack Obama with art by wrongfully convicted man,0.0,0.0
"Roku salaries revealed: How much the streaming company pays for key US jobs in product, engineering, and more (ROKU)",0.0,0.0
3 Great Stocks Under $10 a Share,0.743,1.0
"The best year end tech deals from across the internet are here: Save on Apple, Sony, Bose, Samsung, and more - Yahoo Lifestyle",0.8126,1.0
DC Films Could Release Up to Four Movies in Theaters a Year Starting in 2022,0.0,0.0
